country,total_pop,prct_yng_adt_pop,gdp,gdp_per_cap,median_income,prct_budget_veryeasy,prct_budget_easy,life_expect,political_trust_rating,police_trust_rating,legal_trust_rating,prct_close_relat,prct_health_verygood,prct_health_good,prct_job_satis_high,prct_leisure_satis_high,prct_env_satis_high,prct_life_satis_high,avg_hrs_worked,unemp_rate,med_income_underemp,prct_low_savings,prct_budget_veryhard,prct_budget_hard,prct_rpt_crime,prct_rpt_pollution,prct_health_verybad,prct_health_bad,prct_job_satis_low,prct_leisure_satis_low,prct_env_satis_low,prct_life_satis_low,avg_temp,avg_high_temp,avg_low_temp,avg_precipitation
Belgium,11000638,18.4851460433477,424660.3,0.038603242830097674,21335,6.4,29,81.5,4.6,6.1,5,92.2,29.8,43.9,23,21.5,22.2,20.9,37,7.8,14.6,25.9,9.3,12.2,13.4,13.2,2,7.2,8.5,17.9,7.5,9.2,48.8,55.5,42,33.1
Bulgaria,7364570,18.4325765115954,48128.6,0.006535154123051312,6742,0.3,2.1,74.9,2.6,3.6,3,95.3,19.1,46.7,16.1,14.6,8.4,5.9,40.8,7.6,11.9,54.2,28.9,32.8,25,15.1,2.3,8.7,47.7,51.5,59,64.2,49.4,59.3,43.4,24.7
Croatia,4284889,18.5512623547541,46639.5,0.010884646020001918,8985,0.4,2.8,78.2,2.8,6.10645161290323,3.3,94.5,25.5,33.8,25.6,24.5,22.4,15,39.4,13.1,13,57.7,20.4,31,3,7,3.8,14.8,25.4,33.4,39.7,35.4,55.1,62.3,48,41.1
Italy,59433744,15.4749732744415,1689824,0.028432063778448823,16237,0.3,4.4,83.4,2.1,5.8,3.6,86.8,10.5,60.4,20.2,13.8,11,14.2,37,11.7,12.8,40.4,10.9,22.4,14.7,15.1,1.3,6.4,17.6,28,35.5,22.7,56.3,63.8,49.1,30.4
Cyprus,840407,23.3226282027637,18490.2,0.02200148261497108,16173,0.7,3.8,82.7,2.6,4.7,3.6,97,44.1,34.6,28.2,24,13.4,14.2,39.2,13,10.6,56.6,29.4,30.4,9.8,9.2,0.7,3.8,20,28.1,37.3,37,66.1,75.1,57.5,15.4
Latvia,2070371,20.4428578259645,25037.7,0.01209333979272314,9257,0.9,4.6,74.9,3.6,5.4,4.5,91.8,5.1,42.1,25.8,21.4,26.2,12.6,38.7,9.6,7.2,60,12.4,26.9,10,17.2,3,12.6,17.3,20.8,19.1,30.8,42.9,48.8,38.2,23.2
Lithuania,3043429,20.526780812038,38849.4,0.01276500946793896,9364,0.3,3.4,74.9,4.5,6,4.9,96.8,6.6,36.8,29.6,22,42.1,18.8,38.5,7.9,10.2,53.2,6.9,22.7,3.4,15.6,2.7,14.2,15,25.6,13,27.9,43.4,49.6,36.9,26.3
Luxembourg,512353,18.9406522456197,53303,0.10403569414056324,28663,8.6,29.9,82.7,5,6.1,5.3,87.1,23.4,45.8,30.4,30,33.9,25.7,37.5,6.3,6.6,21.9,4.2,8.2,12.2,16.1,1.8,7.8,14.5,22.5,9.2,14.8,46.7,54.6,41.2,32.4
Hungary,9937628,18.3451221961619,113903.8,0.011461869975410632,8267,0.4,3.1,76.2,4.5,5.7,5.1,97.2,17.6,42,23,15.4,15.8,11.3,39.7,5.1,8.2,50.8,17.1,25.7,9.7,12.8,2.8,10.4,21.3,35.2,32.3,38.5,50.3,58.3,42.7,22.7
Malta,417432,20.5906590774066,10344.1,0.02478032350179191,17264,1.6,13.5,82.6,5.7,6.3,4.9,96.1,22.3,50.6,27.2,23.6,31,21.9,38.7,4.7,7.3,20.8,6.7,13.2,10.4,30.2,0.5,2.6,13.1,30.3,22.7,20.4,65.7,72.3,59.1,22
Netherlands,16655799,18.2699791225867,708337,0.042527950775582725,21189,12,41.1,81.7,5.5,6.6,6.2,90.9,22.5,53.4,22.9,18.9,31.3,26.1,30.3,6,9.7,22.5,3,9.6,16.9,13.2,0.7,4.2,5.4,5.9,4,5.6,49.2,55.1,43.7,29.7
Austria,8401940,18.6775435197109,356237.6,0.04239944584226976,23071,9.9,21.4,81.8,4.4,7.2,6,95.8,31.9,38.3,42.2,35.3,57.2,37.9,36.5,6,8.1,22.6,4.3,8.5,12.4,10.7,1.7,6.4,10.2,23.3,9.5,12.9,44.6,54.2,37.4,39.3
Czechia,10436560,18.8624891726776,176370.1,0.016899256076714934,12478,1.5,9.4,79.1,3.7,4.9,3.8,98.1,18.6,41.8,29.6,24.3,33.5,21.3,40.3,4,6.7,32.1,7.1,16.1,11.7,13.5,2,9.7,19,31.5,17.8,25.4,44.5,51.4,37.3,27.4
Poland,38044565,21.9158084735625,426547.5,0.011211785441626156,10865,2.2,8.3,78,3.5,5.2,4.2,95.9,15.9,42.7,32,27.8,39.7,29.4,40.7,6.2,6.4,37.9,8.4,16.4,5.6,11.4,2.7,11,19.8,29.9,18.2,19.9,44.6,56.2,33.8,24.6
Portugal,10562178,17.0740447661458,186480.5,0.017655496811358414,10805,0.5,7,81.3,1.7,5.4,2.9,90.4,8.7,39,24.5,23.9,19.6,13.8,39.4,11.2,9.1,38.3,17,19.7,7.8,13.1,3.8,12.1,25.1,35.5,37.8,40.5,60.4,68.3,54.2,32.5
Romania,20121641,18.7753275192615,170393.6,0.00846817612937235,4724,0.7,2.6,75.3,4.8,6.4,5.8,95.6,26.6,43.9,20.4,18,29.1,19.7,39.9,5.9,8.2,54.5,18.1,26,14.1,14.5,1.2,6,18,22.4,15,16.7,47.6,57.1,41.1,24.7
Slovenia,2050189,18.3087998228456,40357.2,0.01968462419806174,15250,1.8,12.2,81.2,1.8,5.5,2.7,96.4,20.3,44.2,29.1,24.7,42.3,20.4,39.3,8,7.4,41.7,8,17.9,8.5,15.9,1.7,8.2,19.3,29.6,17.6,24.4,46.4,53.8,38.7,49.1
Slovakia,5397036,21.9085994608893,81226.1,0.015050131220173443,10466,0.7,4.7,77.3,3.5,4.4,3.6,97.9,22.4,44.1,29.2,26.6,22.8,25,40.1,9.7,6.5,37.9,10.1,19.5,6.9,9.3,2.6,9.1,22.3,29.4,28.3,26.4,43.2,53,36,26.2
Finland,5375276,18.7139599901475,216073,0.04019756380881651,19997,16.9,25.8,81.5,6,8.2,7.2,98.1,20.2,50.1,40.8,35.9,34.7,38.6,36.7,8.8,11.4,29.4,2.3,4.6,6.5,7.2,0.9,5,4.7,12.5,9,6,36.6,43.9,31.3,21.9
Sweden,9482855,19.3862924193189,463147.5,0.04884051269369826,20955,22.1,26.1,82.4,5.5,7.1,6.7,97.3,29,46,34.5,33.2,34.7,34.4,36.4,7,8.5,20.7,3.1,4.5,12.7,6.3,1.2,4.5,13,21.9,14.4,9,40.3,46.7,33.6,22.6
United Kingdom,63182180,19.9423160137874,2403382.6,0.038038931230293095,17296,10,16.5,81.2,3.8,6.4,5.5,93.1,30.8,38.1,28,29,38.2,27.8,36.6,4.8,11.3,38,6.8,9.5,16.8,9,1.9,6.9,22.4,29.3,11.3,19.1,48.8,55.3,42.9,29.7
Iceland,315556,21.5933146573033,18646.1,0.059089670296239016,22193,14.3,15.7,82.2,3.7,7.7,5.7,96.4,38.3,37.7,42.3,35,29.2,38.1,39.3,3,4.3,30.9,6.2,7.9,2.2,7.9,1.5,5,9.6,22,14.2,9.5,38.5,43.1,34.2,38.1
Norway,4979954,19.5865463817537,335747.5,0.06741979945999502,27670,22.2,33.9,82.5,5.9,7.5,7.2,97.1,28.8,48.4,39.1,30.2,48.1,35.6,33.8,4.7,7.7,18.1,2,3.4,4.6,6.8,1.3,6.4,7.2,24.5,6.1,10.3,39.8,44.1,33.8,44.2
Denmark,5560628,18.082004406696502,282089.9,0.05072986360533378,21355,16.1,26.2,80.9,5.9,7.9,7.5,95.5,26.5,44.8,44.4,41.4,52.2,42.7,32.9,6.2,10.7,24.5,3.2,6.8,8.4,6.8,2.2,5.4,9.2,17.7,10.9,10.6,46,51.4,41.6,23.9
Switzerland,7954662,18.4457868857281,605753.7,0.07615077799660123,27692,11.9,30,83.7,6.6,7.4,7,95.7,33.2,44.5,36.6,25.8,41.8,38.5,34.7,5,5.5,21,3.7,8.9,10.9,8.9,0.7,3.8,8.5,27.5,12,8,42.5,50.8,35.8,46.7
Turkey,7954662,18.7139599901475,780224.9,0.09808397892958871,6501,0.5,10.1,78.1,4.9,6.5,5.4,95.9,6.5,62.3,18.3,12.2,18.3,11.1,46.8,10.9,10.1,34.4,6.8,26.3,10.7,24.5,1.3,8.3,42.2,51.5,39.5,50.3,54.2,63.9,44.6,25.7
Germany,80219695,17.105589842993,3159750,0.03938870622731737,21152,12,32.2,81,4.9,6.4,5.3,96.7,18,47.2,25,24.2,40.9,25,35.1,4.1,9.6,30,2.3,4.6,14.1,23.2,1.4,6.9,24.3,33.3,15.9,19.2,46.6,54,40.5,29.4
Estonia,1294455,19.6883630562669,21682.6,0.01675036984676949,11867,1.9,11.3,78,4.4,6,5.2,92.8,9.3,43.6,26.6,22.2,18.1,13.5,38.4,6.8,5.8,31.6,4.9,10.5,9.2,9.9,1.9,12.5,18.4,33,28.5,34.4,41.9,48.4,35.9,25.6
Ireland,4574888,20.6013349397843,273238.2,0.059725658857659465,18286,2.7,7.7,81.8,3.2,6.9,5.1,96.2,41.7,41.1,28.3,29.1,43.7,30.6,35.9,8.4,18.2,45.3,12,15.4,9.9,4.6,0.8,2.8,20,28.6,10.1,16.7,49.4,55.2,44,40.8
Greece,10816286,17.604416155416,176487.9,0.01631686699112801,9048,0.3,1.5,81.5,2,5,4.1,96.2,45,29,14,11.6,18.3,12.8,42.3,23.6,17.2,53.6,40.6,36.2,11.8,19.6,2.8,7.5,37.7,36.2,36.5,35.5,62.5,70.1,53.9,25.3
Spain,46815910,16.6743314398887,1118743,0.023896641120507964,15347,0.9,11.1,83.5,1.9,5.4,3.1,96.9,15.6,56.9,19.4,21.2,23.7,18.4,37.7,19.6,14.9,38.7,16.6,19,10.3,10.1,1.4,5.5,21.5,29.7,17.4,23.2,60,69.3,52.3,21.7
France,64933400,18.5275004851124,2228568,0.03432082718600905,20621,1.9,12.2,82.7,3,5.6,4.5,93.1,21.9,44.5,20,23.3,27.9,16.1,37.3,10.1,8.4,31.8,4.2,15,14.8,14.1,1,7.1,15.4,25.2,10.5,19.1,52.3,60.5,45.6,30.7
